City,Country,Date,Lng,Lat,Max Temp,Cloudiness,Humidity,Wind Speed
Rawson,AR,1586483604,-65.1,-43.3,19.97,12,52,11.57
Moree,AU,1586483606,149.85,-29.47,19.0,90,88,4.1
Norton,ZW,1586483607,30.7,-17.88,14.22,75,60,2.98
Zhezkazgan,KZ,1586483608,67.71,47.8,3.59,82,74,1.71
Ankang,CN,1586483611,109.02,32.68,12.78,100,30,2.24
The Valley,AI,1586483612,-63.06,18.22,27.78,20,74,1.0
San Cristobal,VE,1586483352,-72.22,7.77,20.36,33,61,0.83
Buin,CL,1586483619,-70.75,-33.73,15.0,14,72,4.6
Sinnamary,GF,1586483622,-52.95,5.38,26.59,100,85,6.04
Port Hardy,CA,1586483577,-127.42,50.7,11.0,75,76,5.1
Cairo,EG,1586483102,31.25,30.06,15.0,0,72,1.5
Quatre Cocos,MU,1586483625,57.76,-20.21,26.0,40,78,3.1
Mananjary,MG,1586483630,48.33,-21.22,22.52,90,90,4.05
Kolokani,ML,1586483620,-8.03,13.57,26.51,0,13,0.21
Kaitangata,NZ,1586483632,169.85,-46.28,17.3,0,56,1.3
Laguna,US,1586483637,-121.42,38.42,18.0,90,55,1.5
Fairbanks,US,1586483639,-147.72,64.84,-3.89,1,38,3.6
Port Blair,IN,1586483640,92.75,11.67,27.97,42,62,1.89
Monrovia,LR,1586483641,-10.8,6.3,25.69,85,85,0.94
Dhidhdhoo,MV,1586483644,73.1,6.88,29.31,15,67,2.4
Pemba,MZ,1586483645,40.52,-12.97,24.96,62,86,7.63
Muros,ES,1586483648,-9.06,42.78,16.11,75,100,3.6
Rodrigues Alves,BR,1586483649,-72.65,-7.74,24.82,81,78,0.12
Taltal,CL,1586483650,-70.48,-25.4,17.18,11,78,1.28
Castro,BR,1586483650,-50.01,-24.79,11.61,0,68,1.45
Dunmore Town,BS,1586483653,-76.65,25.5,25.34,0,87,4.7
New Norfolk,AU,1586483654,147.06,-42.78,20.0,75,40,7.7
San Quintin,MX,1586483655,-115.95,30.48,14.92,2,69,4.26
Kruisfontein,ZA,1586483656,24.73,-34.0,17.06,99,45,3.28
Moron,AR,1586483659,-58.62,-34.65,18.0,0,82,2.1
Coro,VE,1586483660,-69.67,11.4,26.08,100,83,6.51
Khatanga,RU,1586483661,102.5,71.97,-7.08,100,95,11.9
Ilulissat,GL,1586483662,-51.1,69.22,-1.0,0,36,8.2
Provideniya,RU,1586483664,-173.3,64.38,-9.0,60,72,7.0
Mizan Teferi,ET,1586483666,35.58,6.98,16.83,34,62,1.12
Derzhavinsk,KZ,1586483669,66.32,51.1,2.57,100,86,6.37
Seoul,KR,1586483671,126.98,37.57,13.0,20,46,2.54
Jega,NG,1586483672,4.38,12.22,25.43,100,55,4.08
Esperance,AU,1586483673,121.9,-33.87,23.0,8,69,2.6
Malinovskiy,RU,1586483675,62.84,61.2,1.11,48,87,4.16
Benguela,AO,1586483676,13.41,-12.58,24.98,0,78,0.9
Kankan,GN,1586483677,-9.31,10.39,27.06,53,52,1.93
Fortuna,US,1586483678,-124.16,40.6,14.0,75,82,6.2
Georgetown,MY,1586483648,100.34,5.41,29.0,20,88,1.5
Dzhida,RU,1586483681,106.18,50.68,12.99,0,28,1.85
Bikaner,IN,1586483682,73.3,28.02,30.6,10,17,6.79
Hermanus,ZA,1586483683,19.23,-34.42,16.11,100,100,2.1
Norman Wells,CA,1586483684,-126.83,65.28,-2.0,40,39,6.7
Avezzano,IT,1586483686,13.44,42.04,11.67,0,44,1.5
Lityn,UA,1586483661,28.08,49.33,8.41,11,67,5.32
Acapulco,MX,1586483688,-99.89,16.86,26.0,20,88,3.6
Ilinskiy,RU,1586483689,38.12,55.62,10.0,40,71,5.0
Longyearbyen,SJ,1586483691,15.64,78.22,-14.0,40,65,5.7
Sumter,US,1586483692,-82.08,28.71,25.56,1,100,3.18
Bambous Virieux,MU,1586483693,57.76,-20.34,26.0,40,78,3.1
Sidney,AU,1586483583,151.21,-33.87,19.44,90,93,4.6
Korla,CN,1586483696,86.15,41.76,17.22,62,19,10.0
Marsaxlokk,MT,1586483697,14.54,35.84,12.78,0,93,3.1
Hualmay,PE,1586483698,-77.61,-11.1,22.24,78,80,2.92
Medea,DZ,1586483699,2.75,36.26,12.0,40,93,2.1
Nanortalik,GL,1586483701,-45.24,60.14,-0.02,91,91,4.96
Saint-Augustin,CA,1586483502,-58.65,51.23,-3.94,32,92,2.6
Iralaya,HN,1586483703,-83.23,15.0,25.63,100,82,3.06
Amahai,ID,1586483704,128.92,-3.33,30.23,1,61,1.87
Bhatkal,IN,1586483706,74.57,13.97,28.5,0,56,1.1
Markova,UA,1586483708,24.41,48.68,7.66,14,54,2.5
Guerrero Negro,MX,1586483709,-114.06,27.98,15.36,0,66,8.53
Bay City,US,1586483619,-83.89,43.59,2.78,1,80,6.7
Merauke,ID,1586483712,140.33,-8.47,28.95,65,77,2.96
Chiredzi,ZW,1586483713,31.67,-21.05,16.44,36,85,1.72
Xinqing,CN,1586483714,129.5,48.23,11.55,6,35,3.55
Lavrentiya,RU,1586483715,-171.0,65.58,-11.26,86,94,3.06
Maragogi,BR,1586483716,-35.22,-9.01,26.42,58,79,2.41
Takaka,NZ,1586483718,172.8,-40.85,18.89,66,63,2.24
Nemuro,JP,1586483719,145.57,43.32,1.0,75,74,1.5
Veraval,IN,1586483720,70.37,20.9,26.93,0,57,4.46
Clyde River,CA,1586483723,-68.59,70.47,-18.0,1,91,5.7
Ust-Maya,RU,1586483724,134.53,60.42,1.97,82,81,1.08
Varhaug,NO,1586483725,5.65,58.61,3.0,100,64,4.6
Tecoanapa,MX,1586483727,-98.75,16.52,25.43,33,78,1.71
Tara,RU,1586483728,74.37,56.89,0.39,0,85,3.97
Coihaique,CL,1586483447,-72.07,-45.58,13.0,100,71,1.0
Dingle,PH,1586483730,122.67,11.0,30.81,21,60,6.62
Beringovskiy,RU,1586483732,179.32,63.05,-9.47,81,94,4.7
Eureka,US,1586483733,-124.16,40.8,14.0,90,71,3.1
Lompoc,US,1586483660,-120.46,34.64,13.0,90,81,2.6
Vestmannaeyjar,IS,1586483738,-20.27,63.44,4.68,100,70,5.91
Sri Aman,MY,1586483739,111.46,1.24,28.0,75,88,0.5
Linden,GY,1586483740,-58.3,6.0,26.0,20,88,2.1
Gat,IL,1586483741,34.76,31.61,14.0,40,82,3.1
Lukovetskiy,RU,1586483743,41.92,64.3,-3.0,90,68,4.0
Roros,NO,1586483744,11.38,62.57,-2.0,99,79,6.2
Portland,US,1586482848,-122.68,45.52,24.0,20,28,6.7
Jadu,LY,1586483746,12.03,31.95,10.27,0,42,4.47
Meulaboh,ID,1586483747,96.13,4.14,27.95,87,68,1.78
Lithakia,GR,1586483718,20.83,37.72,10.0,0,93,0.5
Rocha,UY,1586483750,-54.33,-34.48,13.58,4,89,2.62
Baruun-Urt,MN,1586483751,113.28,46.68,6.65,0,31,0.88
Dawson Creek,CA,1586483752,-120.24,55.77,5.0,40,65,4.1
Magistralnyy,RU,1586483753,107.45,56.17,10.14,76,55,1.94
Olafsvik,IS,1586483754,-23.71,64.89,1.51,100,85,5.91
Saint-Louis,SN,1586483757,-15.0,16.33,26.37,0,16,3.63
Constitucion,CL,1586483758,-72.42,-35.33,10.89,0,84,3.57
Khovu-Aksy,RU,1586483759,93.6,51.13,4.78,31,41,1.87
Hovd,MN,1586483761,91.64,48.01,7.72,23,28,1.73
Ambatofinandrahana,MG,1586483762,46.8,-20.55,14.71,50,61,2.62
Ngunguru,NZ,1586483763,174.5,-35.62,21.67,48,52,4.92
Chapais,CA,1586483764,-74.85,49.78,2.0,20,40,4.1
Jimo,CN,1586483766,120.46,36.39,11.11,38,57,5.0
Saint George,US,1586483561,-113.58,37.1,14.44,1,44,6.2
Victoria,HK,1586483743,114.16,22.29,24.44,0,49,8.7
Cayenne,GF,1586483770,-52.33,4.93,27.0,75,88,2.1
Russell,US,1586483772,-85.2,32.35,21.67,1,82,4.44
Guaymas,MX,1586483773,-110.9,27.93,22.78,5,60,7.7
Manjacaze,MZ,1586483774,33.88,-24.71,19.05,17,84,1.3
Katsuura,JP,1586483775,140.3,35.13,15.0,40,44,8.7
Airai,TL,1586483776,125.41,-8.93,21.34,14,57,1.07
Bahia Blanca,AR,1586483498,-62.27,-38.72,14.32,0,44,5.77
Bonthe,SL,1586483779,-12.51,7.53,26.7,42,89,3.58
Terrace Bay,CA,1586483780,-87.1,48.78,-2.79,6,91,7.2
Susuman,RU,1586483782,148.17,62.78,-6.28,77,84,1.67
Leningradskiy,RU,1586483783,178.42,69.38,-17.29,20,88,0.86
Karasburg,NA,1586483784,18.75,-28.02,16.44,0,21,2.59
Turek,PL,1586483785,18.5,52.02,4.44,39,81,2.52
Cherskiy,RU,1586483787,161.3,68.75,-13.96,78,91,5.08
Birecik,TR,1586483788,37.99,37.03,8.0,89,81,1.17
Sosnovka,RU,1586483789,51.28,56.26,6.57,96,83,5.66
Balagansk,RU,1586483791,103.05,54.01,7.45,45,52,1.98
Labuhan,ID,1586483793,112.21,-6.88,30.3,80,69,1.8
Lata,PT,1586483795,-8.33,40.16,16.11,90,93,2.6
Vikhorevka,RU,1586483796,101.16,56.12,4.0,100,69,4.0
Zyryanka,RU,1586483798,150.85,65.75,-3.94,0,95,7.0
Sao Filipe,CV,1586483799,-24.5,14.9,23.79,0,71,4.91
Raudeberg,NO,1586483800,5.14,61.99,4.0,99,60,2.6
Sisophon,KH,1586483801,102.97,13.59,31.98,73,54,3.39
Caravelas,BR,1586483803,-39.25,-17.71,24.5,100,88,5.19
Cabo San Lucas,MX,1586483543,-109.91,22.89,24.0,75,64,2.6
Havre-Saint-Pierre,CA,1586483805,-63.6,50.23,-3.0,1,92,1.5
Nikolskoye,RU,1586483806,30.79,59.7,3.0,26,69,6.0
Alakurtti,RU,1586483808,30.35,66.97,-12.22,1,90,2.07
Port Lincoln,AU,1586483809,135.87,-34.73,19.88,100,54,6.78
Pangoa,PE,1586483810,-73.0,-12.12,19.93,29,76,0.75
Inuvik,CA,1586483811,-133.72,68.35,-8.0,40,52,2.6
Aasiaat,GL,1586483813,-52.87,68.71,-6.43,0,87,4.39
Roald,NO,1586483814,6.13,62.58,3.33,100,64,4.6
Santa Rosa,PH,1586483815,121.11,14.31,31.11,40,66,3.1
Arlit,NE,1586483816,7.39,18.74,26.63,85,14,4.53
Bud,US,1586483817,-86.18,39.45,6.11,75,86,4.6
Balkhash,KZ,1586483819,74.98,46.84,3.79,0,59,1.73
Flinders,AU,1586483618,150.86,-34.58,19.44,40,100,2.1
Ust-Tsilma,RU,1586483821,52.15,65.44,-3.64,88,96,3.63
Suchdol Nad Luznici,CZ,1586483824,14.88,48.89,9.44,32,76,0.45
Mehamn,NO,1586483826,27.85,71.04,-3.44,99,88,8.77
Yeniseysk,RU,1586483547,92.17,58.45,1.99,100,78,2.88
Ahipara,NZ,1586483829,173.17,-35.17,18.4,19,65,6.24
Quelimane,MZ,1586483830,36.89,-17.88,25.0,40,83,3.1
Presidencia Roque Saenz Pena,AR,1586483831,-60.44,-26.79,13.09,0,67,1.68
Lamar,US,1586483832,-95.58,33.67,20.0,75,59,4.1
Mandurah,AU,1586483834,115.7,-32.55,30.56,100,57,2.6
Broome,US,1586483835,-75.83,42.25,2.78,20,69,4.6
Shuangyang,CN,1586483836,125.67,43.52,9.0,20,42,2.0
Ekibastuz,KZ,1586483837,75.37,51.67,3.97,17,62,4.42
Nantucket,US,1586483839,-70.1,41.28,7.22,20,75,9.8
Manoharpur,IN,1586483840,75.95,27.3,23.0,0,33,2.1
Stromness,GB,1586483841,-3.3,58.97,7.0,100,93,2.6
Kuytun,RU,1586483842,101.5,54.34,6.99,97,75,3.18
Kenai,US,1586483843,-151.26,60.55,3.33,1,43,4.6
Srandakan,ID,1586483845,110.25,-7.94,30.04,66,63,2.49
Mogadishu,SO,1586483846,45.34,2.04,28.33,3,70,2.21
Nipawin,CA,1586483847,-104.0,53.37,-3.0,90,73,5.7
Skjervoy,NO,1586483848,20.97,70.03,-0.23,100,88,12.25
Tiksi,RU,1586483850,128.87,71.69,1.15,100,87,7.02
The Pas,CA,1586483851,-101.25,53.83,-2.0,75,54,3.1
Pombas,CV,1586483852,-25.02,17.15,23.0,20,78,10.8
Dikson,RU,1586483853,80.55,73.51,-12.6,93,93,7.06
Magalia,US,1586483728,-121.58,39.81,17.0,75,67,3.1
Nieuw Amsterdam,SR,1586483856,-55.08,5.88,26.67,40,88,2.1
Smila,UA,1586483857,31.89,49.22,9.9,16,52,3.91
Tangier,MA,1586483858,-5.81,35.78,16.0,27,93,3.6
Aklavik,CA,1586483859,-135.01,68.22,-8.0,40,52,2.6
Jalu,LY,1586483861,21.55,29.03,12.95,0,58,4.29
Am Timan,TD,1586483862,20.28,11.03,26.17,99,52,1.65
Sorland,NO,1586483863,12.69,67.67,0.62,100,83,8.19
Forbes,AU,1586483864,148.02,-33.38,20.0,10,77,0.45
Langenfeld,DE,1586483867,6.95,51.1,12.22,10,76,3.6
Dzaoudzi,YT,1586483868,45.27,-12.79,29.0,20,79,5.7
Coari,BR,1586483869,-63.14,-4.08,22.56,100,97,0.96
Silver City,US,1586483870,-108.28,32.77,16.67,1,24,2.1
Yulara,AU,1586483872,130.99,-25.24,25.0,0,25,3.6
Saint-Georges,GD,1586483874,-61.75,12.06,27.0,20,83,7.7
Riberalta,BO,1586483875,-66.1,-10.98,23.55,28,87,1.13
Waipawa,NZ,1586483877,175.52,-41.41,16.11,46,72,3.1
Bang Rakam,TH,1586483878,100.12,16.76,34.44,35,74,1.5
Camacha,PT,1586483879,-16.33,33.08,18.0,40,88,4.1
Ajaccio,FR,1586483880,8.92,42.0,11.0,0,70,3.6
Maldonado,UY,1586483881,-54.92,-34.67,17.0,20,72,4.1
Cacoal,BR,1586483883,-61.45,-11.44,23.51,93,89,0.93
Seymchan,RU,1586483884,152.43,62.88,-7.1,36,88,2.16
Temple,US,1586483885,-97.34,31.1,20.0,75,93,2.1
Mahuta,TZ,1586483886,39.45,-10.87,18.69,100,89,1.8
Katobu,ID,1586483887,122.53,-4.94,29.12,83,76,0.95
Roma,US,1586483889,-75.46,43.21,4.44,1,60,7.2
Bato,PH,1586483890,123.37,13.35,31.46,40,47,2.26
Umm Lajj,SA,1586483891,37.27,25.02,21.74,100,45,5.05
Naze,JP,1586483893,129.48,28.37,22.0,20,56,6.7
Huarmey,PE,1586483894,-78.15,-10.07,22.95,94,79,3.41
Vila Franca Do Campo,PT,1586483895,-25.43,37.72,15.0,20,87,2.6
Yakima,US,1586483873,-120.67,46.47,24.0,1,14,2.1
Kantabanji,IN,1586483898,82.92,20.48,32.14,0,13,2.38
Asau,RO,1586483899,26.4,46.43,9.44,0,65,1.5
Homer,US,1586483900,-151.55,59.64,4.0,1,32,2.6
Shimoda,JP,1586483901,138.95,34.67,13.0,40,62,6.2
Sisimiut,GL,1586483902,-53.67,66.94,-3.43,0,76,2.29
Shimanovsk,RU,1586483904,127.7,52.0,8.54,72,46,4.97
Poum,NC,1586483905,164.02,-20.23,25.59,62,74,4.7
Saint-Francois,FR,1586483906,3.91,46.42,6.0,0,81,1.5
Ciudad Valles,MX,1586483907,-99.02,21.98,28.57,0,72,1.23
Prince Rupert,CA,1586483910,-130.32,54.32,8.0,1,61,3.6
Ixtapa,MX,1586483801,-105.2,20.7,25.56,40,78,4.1
Hohhot,CN,1586483841,111.65,40.81,5.0,0,41,5.0
Mount Gambier,AU,1586483913,140.77,-37.83,15.0,100,87,6.2
Vardo,NO,1586483915,31.11,70.37,-3.65,51,95,12.03
Mazagao,BR,1586483916,-51.29,-0.12,28.0,40,100,1.5
Kieta,PG,1586483917,155.63,-6.22,29.21,46,75,3.18
Vostok,RU,1586483918,135.88,46.49,6.38,6,44,3.69
Balkanabat,TM,1586483919,54.37,39.51,10.54,100,46,2.73
Aswan,EG,1586483921,32.91,24.09,16.84,14,38,5.55
Goya,AR,1586483922,-59.26,-29.14,12.73,20,66,2.5
Yarada,IN,1586483924,83.27,17.65,23.0,20,94,1.0
Ribeira Grande,PT,1586483925,-28.7,38.52,16.25,100,85,1.77
Adigeni,GE,1586483927,42.7,41.68,9.0,45,93,0.5
Port Moresby,PG,1586483741,147.18,-9.44,31.0,40,70,4.1
Sambava,MG,1586483929,50.17,-14.27,24.03,2,82,3.81
Panama City,PA,1586483832,-79.52,8.99,28.0,100,74,3.6
Ballina,AU,1586483932,153.57,-28.87,20.0,75,94,2.1
Estelle,US,1586483933,-90.11,29.85,27.22,1,88,2.6
Huilong,CN,1586483934,121.66,31.81,15.0,80,82,2.24
Petropavlovsk-Kamchatskiy,RU,1586483935,158.65,53.05,3.0,75,69,5.0
Westport,US,1586483889,-73.36,41.14,9.44,1,45,7.7
Ekhabi,RU,1586483938,142.97,53.51,-1.13,81,93,6.81
Salisbury,GB,1586483898,-1.8,51.07,13.33,23,76,4.1
Phonhong,LA,1586483940,102.42,18.5,26.0,75,78,2.1
Galdar,ES,1586483941,-15.65,28.15,21.0,40,73,6.7
Tahoua,NE,1586483942,5.27,14.89,29.19,94,20,1.57
Neuquen,AR,1586483944,-68.06,-38.95,23.0,0,40,3.6
Granadilla De Abona,ES,1586483945,-16.58,28.12,22.22,20,77,2.1
Sistranda,NO,1586483946,8.83,63.73,3.0,75,74,9.3
Ariquemes,BR,1586483808,-63.04,-9.91,23.11,92,92,0.56
Kloulklubed,PW,1586483950,134.26,7.04,30.0,75,66,4.1
Iquitos,PE,1586483951,-73.25,-3.75,26.0,75,88,1.0
Dalbandin,PK,1586483952,64.41,28.89,20.5,11,27,5.29
Ust-Kuyga,RU,1586483953,135.6,70.02,-0.36,3,95,6.84
Carballo,ES,1586483954,-8.69,43.21,16.11,75,87,2.1
Berdigestyakh,RU,1586483701,126.7,62.1,3.37,44,91,2.41
Nelson Bay,AU,1586483934,152.15,-32.72,20.0,90,88,4.1
Kalaleh,IR,1586483958,55.49,37.38,7.0,98,87,1.0
Tuatapere,NZ,1586483959,167.68,-46.13,15.56,6,76,6.26
Barra Do Garcas,BR,1586483961,-52.26,-15.89,22.17,43,84,0.43
Karatau,KZ,1586483962,70.47,43.17,2.68,4,58,6.35
Omsukchan,RU,1586483963,155.8,62.53,-8.86,11,82,1.57
Floro,NO,1586483964,5.03,61.6,4.0,98,60,2.6
